7990.000000 -76.7697 -75.1357 -68.6688 -76.8266 -76.5252 -76.8219 -76.1875 -76.5148 -76.7611 -76.4533 -74.4919 -76.7811 -74.9588 -76.6938 -72.4842 -74.8439 -75.7264 -76.9245 -76.7415 -76.7438 -76.7333 -76.794
7991.004883 -76.7705 -75.1364 -68.6699 -76.8274 -76.526 -76.8228 -76.189 -76.5165 -76.7621 -76.4545 -74.4928 -76.7846 -74.9599 -76.6945 -72.4846 -74.8452 -75.7275 -76.9274 -76.7427 -76.7449 -76.7348 -76.7951
7992.009766 -76.7714 -75.1372 -68.6709 -76.8282 -76.5269 -76.8236 -76.1906 -76.5181 -76.7631 -76.4557 -74.4937 -76.7882 -74.961 -76.6953 -72.485 -74.8465 -75.7286 -76.9303 -76.7439 -76.746 -76.7362 -76.7962
7993.015137 -76.7722 -75.138 -68.672 -76.8291 -76.5277 -76.8244 -76.1921 -76.5197 -76.7641 -76.4569 -74.4946 -76.7917 -74.9621 -76.696 -72.4854 -74.8478 -75.7297 -76.9331 -76.7452 -76.747 -76.7377 -76.7972
7994.020020 -76.7731 -75.1388 -68.6731 -76.8299 -76.5285 -76.8253 -76.1937 -76.5213 -76.7651 -76.4581 -74.4955 -76.7951 -74.9632 -76.6968 -72.4858 -74.849 -75.7308 -76.936 -76.7464 -76.7481 -76.7392 -76.7983
7995.024902 -76.7739 -75.1396 -68.6741 -76.8307 -76.5293 -76.8261 -76.1952 -76.523 -76.7661 -76.4593 -74.4964 -76.7986 -74.9643 -76.6975 -72.4861 -74.8503 -75.7318 -76.9389 -76.7476 -76.7491 -76.7406 -76.7994
7996.029785 -76.7748 -75.1404 -68.6752 -76.8315 -76.5301 -76.8269 -76.1967 -76.5246 -76.7671 -76.4605 -74.4973 -76.8021 -74.9654 -76.6983 -72.4865 -74.8516 -75.7329 -76.9417 -76.7488 -76.7502 -76.7421 -76.8004
7997.035156 -76.7756 -75.1411 -68.6762 -76.8323 -76.5307 -76.8277 -76.1982 -76.5262 -76.7681 -76.4617 -74.4982 -76.8055 -74.9665 -76.699 -72.4869 -74.8528 -75.734 -76.9445 -76.7501 -76.7512 -76.7435 -76.8015
7998.040039 -76.7765 -75.1412 -68.6772 -76.8332 -76.5244 -76.8286 -76.1998 -76.5278 -76.7691 -76.4628 -74.4991 -76.8089 -74.9676 -76.6998 -72.4873 -74.8541 -75.735 -76.9473 -76.7513 -76.7523 -76.7449 -76.8025
7999.044922 -76.7773 -75.1345 -68.6783 -76.834 -76.3255 -76.8294 -76.2013 -76.5294 -76.7701 -76.464 -74.5 -76.8124 -74.9687 -76.7005 -72.4877 -74.8553 -75.7361 -76.9501 -76.7525 -76.7533 -76.7464 -76.8036
8000.049805 -76.7781 -75.0284 -68.6793 -76.8348 -72.0875 -76.8302 -76.2028 -76.5309 -76.7711 -76.4652 -74.5009 -76.8158 -74.9697 -76.7013 -72.4881 -74.8566 -75.7372 -76.9529 -76.7537 -76.7543 -76.7478 -76.8046
8001.055176 -76.779 -73.6755 -68.6803 -76.8356 -3.32624 -76.831 -76.2043 -76.5325 -76.7721 -76.4664 -74.5018 -76.8191 -74.9708 -76.702 -72.4884 -74.8578 -75.7382 -76.9557 -76.7549 -76.7554 -76.7492 -76.8057
8002.060059 -76.7798 -50.3616 -68.6813 -76.8364 11.2044 -76.8318 -76.2058 -76.5341 -76.7731 -76.4675 -74.5027 -76.8225 -74.9719 -76.7028 -72.4888 -74.8591 -75.7393 -76.9585 -76.7561 -76.7564 -76.7507 -76.8067
8003.064941 -76.7807 14.8848 -68.6823 -76.8372 9.84347 -76.8326 -76.2073 -76.5357 -76.7741 -76.4687 -74.5035 -76.8259 -74.9729 -76.7035 -72.4892 -74.8603 -75.7403 -76.9612 -76.7573 -76.7574 -76.7521 -76.8078
8004.069824 -76.7815 10.9696 -68.6833 -76.838 6.82148 -76.8335 -76.2088 -76.5372 -76.775 -76.4699 -74.5044 -76.8292 -74.974 -76.7043 -72.4896 -74.8616 -75.7414 -76.964 -76.7585 -76.7585 -76.7535 -76.8088
8005.075195 -76.7823 7.27251 -68.6842 -76.8388 4.00995 -76.8343 -76.2102 -76.5388 -76.776 -76.471 -74.5053 -76.8325 -74.9751 -76.705 -72.49 -74.8628 -75.7424 -76.9667 -76.7596 -76.7595 -76.7549 -76.8098
8006.080078 -76.7831 4.00097 -68.6852 -76.8396 1.58677 -76.8351 -76.2117 -76.5403 -76.777 -76.4722 -74.5062 -76.8358 -74.9761 -76.7057 -72.4904 -74.864 -75.7435 -76.9694 -76.7608 -76.7605 -76.7563 -76.8109
8007.084961 -76.784 1.37924 -68.6862 -76.8404 -0.404187 -76.8359 -76.2132 -76.5419 -76.778 -76.4733 -74.5071 -76.8391 -74.9772 -76.7065 -72.4908 -74.8653 -75.7445 -76.9721 -76.762 -76.7615 -76.7577 -76.8119
8008.089844 -76.7848 -0.745293 -68.6872 -76.8412 -2.0365 -76.8367 -76.2147 -76.5434 -76.7789 -76.4745 -74.508 -76.8424 -74.9783 -76.7072 -72.4911 -74.8665 -75.7455 -76.9748 -76.7632 -76.7626 -76.7591 -76.8129
8009.095215 -76.7856 -2.49061 -68.6881 -76.842 -3.39088 -76.8375 -76.2161 -76.545 -76.7799 -76.4756 -74.5088 -76.8457 -74.9793 -76.7079 -72.4915 -74.8677 -75.7466 -76.9775 -76.7644 -76.7636 -76.7605 -76.8139
8010.100098 -76.7864 -3.94427 -68.6891 -76.8428 -4.53052 -76.8383 -76.2176 -76.5465 -76.7809 -76.4768 -74.5097 -76.849 -74.9804 -76.7087 -72.4919 -74.8689 -75.7476 -76.9802 -76.7655 -76.7646 -76.7619 -76.815
8011.104980 -76.7872 -5.17103 -68.69 -76.8436 -5.50246 -76.8391 -76.219 -76.548 -76.7818 -76.4779 -74.5106 -76.8522 -74.9814 -76.7094 -72.4923 -74.8701 -75.7486 -76.9829 -76.7667 -76.7656 -76.7632 -76.816
8012.109863 -76.7881 -6.21872 -68.6909 -76.8444 -6.3416 -76.8399 -76.2205 -76.5496 -76.7828 -76.479 -74.5115 -76.8554 -74.9825 -76.7101 -72.4927 -74.8713 -75.7496 -76.9855 -76.7679 -76.7666 -76.7646 -76.817
8013.115234 -76.7889 -7.12434 -68.6919 -76.8451 -7.07421 -76.8407 -76.2219 -76.5511 -76.7837 -76.4802 -74.5123 -76.8587 -74.9835 -76.7109 -72.4931 -74.8726 -75.7507 -76.9882 -76.769 -76.7676 -76.766 -76.818
8014.120117 -76.7897 -7.91677 -68.6928 -76.8459 -7.72028 -76.8415 -76.2234 -76.5526 -76.7847 -76.4813 -74.5132 -76.8619 -74.9846 -76.7116 -72.4935 -74.8738 -75.7517 -76.9908 -76.7702 -76.7686 -76.7673 -76.819
8015.125000 -76.7905 -8.61839 -68.6937 -76.8467 -8.2953 -76.8422 -76.2248 -76.5541 -76.7856 -76.4824 -74.5141 -76.865 -74.9856 -76.7123 -72.4939 -74.875 -75.7527 -76.9934 -76.7713 -76.7696 -76.7687 -76.82
8016.129883 -76.7913 -9.24648 -68.6946 -76.8475 -8.81141 -76.843 -76.2262 -76.5556 -76.7866 -76.4836 -74.5149 -76.8682 -74.9866 -76.713 -72.4943 -74.8762 -75.7537 -76.9961 -76.7725 -76.7706 -76.7701 -76.821
8017.134766 -76.7921 -9.8144 -68.6955 -76.8483 -9.27824 -76.8438 -76.2276 -76.5571 -76.7875 -76.4847 -74.5158 -76.8714 -74.9877 -76.7138 -72.4947 -74.8773 -75.7547 -76.9987 -76.7736 -76.7716 -76.7714 -76.822
8018.140137 -76.7929 -10.3326 -68.6964 -76.8491 -9.70355 -76.8446 -76.2291 -76.5586 -76.7885 -76.4858 -74.5167 -76.8745 -74.9887 -76.7145 -72.4951 -74.8785 -75.7557 -77.0013 -76.7747 -76.7726 -76.7728 -76.823
8019.145020 -76.7937 -10.8093 -68.6973 -76.8498 -10.0936 -76.8454 -76.2305 -76.5601 -76.7894 -76.4869 -74.5175 -76.8777 -74.9897 -76.7152 -72.4955 -74.8797 -75.7568 -77.0038 -76.7759 -76.7736 -76.7741 -76.824
8020.149902 -76.7945 -11.2512 -68.6982 -76.8506 -10.4537 -76.8462 -76.2319 -76.5616 -76.7904 -76.488 -74.5184 -76.8808 -74.9907 -76.7159 -72.4959 -74.8809 -75.7578 -77.0064 -76.777 -76.7746 -76.7755 -76.825
8021.154785 -76.7953 -11.6637 -68.6991 -76.8514 -10.7879 -76.8469 -76.2333 -76.563 -76.7913 -76.4891 -74.5192 -76.8839 -74.9918 -76.7166 -72.4963 -74.8821 -75.7588 -77.009 -76.7782 -76.7755 -76.7768 -76.826
8022.160156 -76.7961 -12.0512 -68.7 -76.8521 -11.1 -76.8477 -76.2347 -76.5645 -76.7922 -76.4902 -74.5201 -76.887 -74.9928 -76.7173 -72.4967 -74.8833 -75.7598 -77.0115 -76.7793 -76.7765 -76.7781 -76.827
8023.165039 -76.7969 -12.4174 -68.7009 -76.8529 -11.393 -76.8485 -76.2361 -76.566 -76.7932 -76.4913 -74.521 -76.8901 -74.9938 -76.7181 -72.4971 -74.8845 -75.7608 -77.0141 -76.7804 -76.7775 -76.7794 -76.828
8024.169922 -76.7977 -12.7654 -68.7017 -76.8537 -11.6694 -76.8493 -76.2375 -76.5674 -76.7941 -76.4924 -74.5218 -76.8932 -74.9948 -76.7188 -72.4975 -74.8856 -75.7618 -77.0166 -76.7815 -76.7785 -76.7808 -76.829
8025.174805 -76.7985 -13.0979 -68.7026 -76.8544 -11.9316 -76.85 -76.2389 -76.5689 -76.795 -76.4935 -74.5227 -76.8962 -74.9958 -76.7195 -72.4979 -74.8868 -75.7627 -77.0191 -76.7826 -76.7794 -76.7821 -76.83
8026.180176 -76.7993 -13.4172 -68.7035 -76.8552 -12.1815 -76.8508 -76.2402 -76.5704 -76.7959 -76.4946 -74.5235 -76.8993 -74.9968 -76.7202 -72.4983 -74.888 -75.7637 -77.0216 -76.7838 -76.7804 -76.7834 -76.831
8027.185059 -76.8 -13.7251 -68.7043 -76.856 -12.4207 -76.8516 -76.2406 -76.5718 -76.7968 -76.4957 -74.5244 -76.9023 -74.9979 -76.7209 -72.4987 -74.8891 -75.7647 -77.0241 -76.7849 -76.7814 -76.7847 -76.8319
8028.189941 -76.8008 -14.0234 -68.7052 -76.8567 -12.6508 -76.8523 -76.2151 -76.5732 -76.7978 -76.4968 -74.5252 -76.9053 -74.9989 -76.7216 -72.4991 -74.8903 -75.7657 -77.0266 -76.786 -76.7823 -76.786 -76.8329
8029.194824 -76.8016 -14.3135 -68.706 -76.8575 -12.873 -76.8531 -75.5229 -76.5747 -76.7986 -76.4979 -74.526 -76.9083 -74.9999 -76.7223 -72.4995 -74.8914 -75.7667 -77.0291 -76.7871 -76.7833 -76.7873 -76.8339
8030.200195 -76.8024 -14.5967 -68.7069 -76.8582 -13.0886 -76.8539 -65.2729 -76.5761 -76.7985 -76.4989 -74.5269 -76.9113 -75.0009 -76.723 -72.4999 -74.8926 -75.7677 -77.0316 -76.7882 -76.7843 -76.7886 -76.8348
8031.205078 -76.8032 -14.874 -68.7077 -76.859 -13.2986 -76.8546 19.4553 -76.5776 -76.778 -76.5 -74.5277 -76.9143 -75.0019 -76.7237 -72.5003 -74.8937 -75.7686 -77.0341 -76.7893 -76.7852 -76.7899 -76.8358
8032.209961 -76.804 -15.1466 -68.7085 -76.8597 -13.5039 -76.8554 15.9348 -76.579 -76.2971 -76.5011 -74.5286 -76.9173 -75.0029 -76.7244 -72.5007 -74.8949 -75.7696 -77.0365 -76.7904 -76.7862 -76.7912 -76.8368
8033.214844 -76.8047 -15.4152 -68.7094 -76.8605 -13.7052 -76.8561 10.3479 -76.5804 -66.6182 -76.5022 -74.5294 -76.9202 -75.0039 -76.7251 -72.5011 -74.896 -75.7706 -77.039 -76.7915 -76.7871 -76.7925 -76.8377
8034.220215 -76.8055 -15.6806 -68.7102 -76.8612 -13.9035 -76.8569 5.95986 -76.5818 10.9813 -76.5032 -74.5303 -76.9232 -75.0048 -76.7258 -72.5015 -74.8972 -75.7716 -77.0414 -76.7926 -76.7881 -76.7938 -76.8387
8035.225098 -76.8063 -15.9434 -68.711 -76.8615 -14.0992 -76.8577 2.63054 -76.5832 13.8374 -76.5043 -74.5311 -76.9261 -75.0058 -76.7265 -72.5019 -74.8983 -75.7725 -77.0438 -76.7937 -76.789 -76.795 -76.8397
8036.229980 -76.807 -16.2043 -68.7118 -76.8503 -14.2931 -76.8584 0.080179 -76.5846 9.8736 -76.5053 -74.5319 -76.9291 -75.0068 -76.7272 -72.5023 -74.8994 -75.7735 -77.0462 -76.7947 -76.79 -76.7963 -76.8406
8037.234863 -76.8078 -16.4637 -68.7127 -76.5618 -14.4857 -76.8592 -1.91318 -76.586 6.28146 -76.5064 -74.5328 -76.932 -75.0078 -76.7279 -72.5027 -74.9006 -75.7745 -77.0486 -76.7958 -76.7909 -76.7976 -76.8416
8038.240234 -76.8086 -16.7221 -68.7135 -69.486 -14.6773 -76.8599 -3.50651 -76.5874 3.35079 -76.5075 -74.5336 -76.9349 -75.0088 -76.7286 -72.5031 -74.9017 -75.7754 -77.051 -76.7969 -76.7919 -76.7988 -76.8425
8039.245117 -76.8093 -16.98 -68.7143 15.473 -14.8686 -76.8606 -4.8068 -76.5888 1.00167 -76.5085 -74.5344 -76.9378 -75.0098 -76.7293 -72.5035 -74.9028 -75.7764 -77.0534 -76.798 -76.7928 -76.8001 -76.8435
8040.250000 -76.81 -17.2376 -68.7151 18.8721 -15.0599 -76.8613 -5.88791 -76.5902 -0.8844 -76.5096 -74.5352 -76.9406 -75.0107 -76.73 -72.5039 -74.904 -75.7773 -77.0558 -76.799 -76.7938 -76.8014 -76.8444
8041.254883 -76.8088 -17.4953 -68.7159 13.8728 -15.2515 -76.8607 -6.8019 -76.5916 -2.41834 -76.5106 -74.5361 -76.9435 -75.0117 -76.7307 -72.5043 -74.9051 -75.7783 -77.0582 -76.8001 -76.7947 -76.8026 -76.8453
